"customer_id","customer_code","first_name","last_name","full_name","gender","date_of_birth","marital_status","occupation","annual_income","phone_number","email","address","city","state","postal_code","country","pan_number","aadhaar_number","customer_since","risk_category","kyc_status","customer_status"
"11","CUST000011","Wazir","Gandhi","Wazir Gandhi","Male","1970-07-17","Married","HR Manager","731820","9762660923","wazir.gandhi835@gmail.com","96/38
Muni Ganj","Guwahati","Assam","578713","India","FAGMW2193O","461642607714","2021-07-04","Medium","Verified","Active"
"12","CUST000012","Jeevika","Bhatt","Jeevika Bhatt","Female","1979-07-15","Single","HR Manager","793038","9385874226","jeevika.bhatt794@gmail.com","H.No. 983
Kannan","Kanpur","Uttar Pradesh","103105","India","UMGLS4841I","380131243408","2014-07-06","Medium","Verified","Active"
"13","CUST000013","Bimala","Varkey","Bimala Varkey","Female","1984-07-13","Married","Police Officer","1408931","9642436778","bimala.varkey951@gmail.com","H.No. 73, Deo Circle","Shimla","Himachal Pradesh","376311","India","DQAKO1444C","614032373782","2024-07-03","Low","Verified","Active"
"14","CUST000014","Upasna","Pandya","Upasna Pandya","Female","1967-07-18","Single","Doctor","997871","9616526716","upasna.pandya775@gmail.com","70
Bhat Zila","Vadodara","Gujarat","513338","India","SUEIP6111S","693706617861","2025-07-03","Low","Verified","Active"
"15","CUST000015","Udarsh","Dey","Udarsh Dey","Male","2008-07-07","Married","Electrician","1379782","9315669748","udarsh.dey616@gmail.com","473
Savant Zila","Madurai","Tamil Nadu","080132","India","GWVCW4995Y","463081273872","2026-07-03","Low","Verified","Active"
"16","CUST000016","Samar","Sunder","Samar Sunder","Male","1960-07-19","Single","Electrician","457331","9363545473","samar.sunder729@gmail.com","602
Agate Marg","Dehradun","Uttarakhand","474687","India","LHFSI9779Y","617257598233","2022-07-04","Low","Pending","Active"
"17","CUST000017","Garima","Gupta","Garima Gupta","Female","1968-07-17","Married","Electrician","957557","9139281045","garima.gupta712@gmail.com","098
Murthy Nagar","Agra","Uttar Pradesh","097882","India","BDOHZ2940R","767254489366","2023-07-04","High","Verified","Active"
"18","CUST000018","Barkha","Trivedi","Barkha Trivedi","Female","1993-07-11","Single","Teacher","501403","9827746976","barkha.trivedi687@gmail.com","191, Raval Ganj","Jaipur","Rajasthan","939909","India","UFCFD5352E","013752166954","2024-07-03","Low","Verified","Active"
"19","CUST000019","Chaitaly","Saini","Chaitaly Saini","Female","2003-07-09","Single","Student","210876","9746915640","chaitaly.saini366@gmail.com","H.No. 35
Lanka Ganj","Pune","Maharashtra","247510","India","KICEK9117J","647002178808","2012-07-06","Low","Verified","Active"
"20","CUST000020","Vasudha","Chaudhry","Vasudha Chaudhry","Female","1960-07-19","Single","Mechanical Engineer","3208082","9119621550","vasudha.chaudhry871@gmail.com","38/42, Biswas Path","Ranchi","Jharkhand","542784","India","XLDVM5781Q","744441157107","2013-07-06","Low","Verified","Active"
"21","CUST000021","Aayush","Mistry","Aayush Mistry","Male","1955-07-21","Married","Electrician","277906","9343165270","aayush.mistry772@gmail.com","411, Dugal Circle","Chennai","Tamil Nadu","493534","India","MXJZU3492P","919318090189","2024-07-03","Low","Pending","Active"
"22","CUST000022","Yashawini","Suresh","Yashawini Suresh","Female","1954-07-21","Single","Shopkeeper","399234","9926220977","yashawini.suresh112@gmail.com","H.No. 164
Aggarwal Nagar","Ghaziabad","Uttar Pradesh","242786","India","LSXBU5806L","315571086291","2012-07-06","Low","Verified","Active"
"23","CUST000023","Aarna","Choudhury","Aarna Choudhury","Female","1951-07-22","Single","Shopkeeper","282824","9364398133","aarna.choudhury312@gmail.com","28/059, Divan Circle","Bhopal","Madhya Pradesh","204505","India","ZHZRH1803T","789728212776","2022-07-04","Low","Verified","Active"
"24","CUST000024","Henry","Krish","Henry Krish","Male","2006-07-08","Married","Accountant","247255","9778352199","henry.krish835@gmail.com","H.No. 86, Dubey","Ranchi","Jharkhand","226025","India","HWUMB4696V","799837054665","2015-07-06","Low","Verified","Active"
"25","CUST000025","Tripti","Kothari","Tripti Kothari","Female","1988-07-12","Married","Civil Engineer","833135","9919340814","tripti.kothari696@gmail.com","160
Kapadia Chowk","Dehradun","Uttarakhand","754330","India","YSOPS7797U","044903498065","2015-07-06","Low","Verified","Inactive"
"26","CUST000026","Inaya","Rastogi","Inaya Rastogi","Female","2003-07-09","Married","Retired","7043204","9607228319","inaya.rastogi12@gmail.com","H.No. 14
Upadhyay Path","Bhopal","Madhya Pradesh","850142","India","HZZOU2801V","813750214104","2015-07-06","Low","Verified","Active"
"27","CUST000027","Libni","Barad","Libni Barad","Female","1962-07-19","Married","Driver","5510241","9341748311","libni.barad649@gmail.com","65/56, Vaidya","Nagpur","Maharashtra","693406","India","QOIZN8433Q","607867724234","2013-07-06","Medium","Verified","Active"
"28","CUST000028","Aadi","Venkatesh","Aadi Venkatesh","Male","1965-07-18","Married","Teacher","247828","9485553136","aadi.venkatesh778@gmail.com","H.No. 61, Murthy Path","Varanasi","Uttar Pradesh","484656","India","KXBHI2697S","514835122457","2026-07-03","Low","Verified","Active"
"29","CUST000029","Manbir","Datta","Manbir Datta","Male","1964-07-18","Married","Nurse","1190218","9916072433","manbir.datta748@gmail.com","62, Mitra","Hyderabad","Telangana","804436","India","IYPWE1815V","044642531655","2017-07-05","Low","Verified","Active"
"30","CUST000030","Naveen","Shroff","Naveen Shroff","Male","1948-07-22","Single","Accountant","651754","9313758808","naveen.shroff53@gmail.com","38
Gara Chowk","Chennai","Tamil Nadu","489513","India","LLCIL7626W","624919463414","2014-07-06","Low","Verified","Active"
"31","CUST000031","Mohammed","Kar","Mohammed Kar","Male","1959-07-20","Single","Driver","778190","9721167617","mohammed.kar515@gmail.com","003, Bora Chowk","Madurai","Tamil Nadu","693676","India","MOPRW6295U","344675304032","2024-07-03","Low","Verified","Active"
"32","CUST000032","Keya","Divan","Keya Divan","Female","1980-07-14","Married","Student","298691","9848890607","keya.divan459@gmail.com","H.No. 632, Shetty Circle","Nagpur","Maharashtra","831727","India","NPJXK6543V","576006276983","2022-07-04","Medium","Verified","Active"
"33","CUST000033","Zilmil","Nadig","Zilmil Nadig","Female","1970-07-17","Married","Teacher","1394977","9964331294","zilmil.nadig241@gmail.com","86/87
Soman Street","Agra","Uttar Pradesh","434873","India","ZEHUN9843X","803713187814","2013-07-06","Low","Verified","Inactive"
"34","CUST000034","Mahika","Sarraf","Mahika Sarraf","Female","1994-07-11","Married","Lawyer","1875680","9142359881","mahika.sarraf266@gmail.com","43/455, Buch Circle","Ranchi","Jharkhand","236231","India","BMJYS9452D","272914924300","2015-07-06","Low","Pending","Active"
"35","CUST000035","Sarthak","Reddy","Sarthak Reddy","Male","1955-07-21","Married","Nurse","1040164","9774690219","sarthak.reddy633@gmail.com","76/03
Ramachandran Marg","Lucknow","Uttar Pradesh","967054","India","NCHHB7878U","741950521462","2013-07-06","Low","Verified","Active"
"36","CUST000036","Robert","Saini","Robert Saini","Male","1974-07-16","Married","Driver","510662","9420737677","robert.saini350@gmail.com","34, Sunder Marg","Amritsar","Punjab","656272","India","DJIQV8612W","411790278333","2011-07-07","Low","Verified","Active"
"37","CUST000037","Agastya","Ramesh","Agastya Ramesh","Male","1953-07-21","Married","Mechanical Engineer","1385897","9331637204","agastya.ramesh450@gmail.com","H.No. 627, Bedi Street","Delhi","Delhi","653755","India","PVOIC5843J","471447964670","2014-07-06","Low","Verified","Active"
"38","CUST000038","Sachi","Mall","Sachi Mall","Female","1954-07-21","Married","HR Manager","566181","9866937553","sachi.mall675@gmail.com","H.No. 17
Zacharia Nagar","Varanasi","Uttar Pradesh","531003","India","HYAEN2929I","772669210179","2016-07-05","Low","Verified","Active"
"39","CUST000039","Harish","Bahri","Harish Bahri","Male","1954-07-21","Single","Farmer","1235135","9670538560","harish.bahri326@gmail.com","271, Kamdar","Chennai","Tamil Nadu","452991","India","KSMKK2208E","964638761949","2025-07-03","Medium","Verified","Active"
"40","CUST000040","Finn","Mukhopadhyay","Finn Mukhopadhyay","Male","1986-07-13","Married","Driver","943513","9513551916","finn.mukhopadhyay747@gmail.com","04/96, Issac Marg","Vadodara","Gujarat","931491","India","XIYBW2330B","972256085632","2014-07-06","Low","Verified","Active"
"41","CUST000041","Ansh","Palan","Ansh Palan","Male","1979-07-15","Single","Retired","7897179","9775121410","ansh.palan978@gmail.com","51/850
Suri Marg","Indore","Madhya Pradesh","657262","India","JPGWE6364S","711948403425","2025-07-03","Low","Verified","Active"
"42","CUST000042","Yutika","Madan","Yutika Madan","Female","1990-07-12","Married","Business Owner","1925322","9400532345","yutika.madan855@gmail.com","69
Naidu Road","Indore","Madhya Pradesh","147379","India","ZRDZK6555R","971550134465","2016-07-05","High","Verified","Active"
"43","CUST000043","Sachi","Nayar","Sachi Nayar","Female","1971-07-17","Single","Driver","756821","9836957760","sachi.nayar495@gmail.com","52, Kala Chowk","Chennai","Tamil Nadu","454948","India","GRZPF1841S","457738257144","2013-07-06","Low","Verified","Active"
"44","CUST000044","Aashi","Varughese","Aashi Varughese","Female","1963-07-19","Single","Government Employee","670420","9745568682","aashi.varughese505@gmail.com","H.No. 367, Khosla Circle","Delhi","Delhi","770143","India","EGOFZ5876Y","227339721639","2015-07-06","High","Verified","Active"
"45","CUST000045","Samaksh","Kohli","Samaksh Kohli","Male","1986-07-13","Married","Mechanical Engineer","4258960","9516526560","samaksh.kohli433@gmail.com","95/788
Sandal Path","Ghaziabad","Uttar Pradesh","574443","India","IMRDZ3587N","684672207627","2025-07-03","Medium","Verified","Active"
"46","CUST000046","Darpan","Hans","Darpan Hans","Male","1955-07-21","Married","Electrician","297680","9993465815","darpan.hans289@gmail.com","H.No. 823
Sule Ganj","Nagpur","Maharashtra","989413","India","FCELG4050A","775718885061","2022-07-04","Low","Verified","Active"
"47","CUST000047","Manbir","Karan","Manbir Karan","Male","1960-07-19","Single","Nurse","358306","9460134587","manbir.karan328@gmail.com","408
Mahal Street","Ranchi","Jharkhand","084271","India","RQYJF3188P","176454562278","2024-07-03","Low","Verified","Active"
"48","CUST000048","Abha","Mane","Abha Mane","Female","2005-07-08","Married","Driver","305988","9112505845","abha.mane477@gmail.com","75
Behl Street","Kanpur","Uttar Pradesh","711671","India","OORIA5169A","750309909047","2013-07-06","Low","Verified","Active"
"49","CUST000049","Avni","Doshi","Avni Doshi","Female","1984-07-13","Single","Shopkeeper","269724","9357200265","avni.doshi554@gmail.com","41/31, Saha Circle","Kolkata","West Bengal","867749","India","JFLEE2848B","847802105707","2014-07-06","Low","Verified","Active"
"50","CUST000050","Upadhriti","Mody","Upadhriti Mody","Female","1976-07-15","Divorced","Civil Engineer","367197","9795425571","upadhriti.mody705@gmail.com","13/34, Dugar Zila","Agra","Uttar Pradesh","281206","India","LMZYR9592K","642152281404","2013-07-06","Low","Verified","Active"
"51","CUST000051","Umang","Singhal","Umang Singhal","Male","1949-07-22","Married","Police Officer","248477","9881775483","umang.singhal989@gmail.com","H.No. 344
Bobal Chowk","Ghaziabad","Uttar Pradesh","493618","India","XFETT8846H","673232463384","2011-07-07","Medium","Verified","Active"
"52","CUST000052","Isaiah","Dixit","Isaiah Dixit","Male","1972-07-16","Married","Accountant","1580190","9513384662","isaiah.dixit851@gmail.com","102
Mani Road","Nagpur","Maharashtra","174648","India","MSTLT6770F","151899580800","2022-07-04","Medium","Verified","Active"
"53","CUST000053","Yatin","Sarma","Yatin Sarma","Male","1979-07-15","Married","Retired","845655","9305290868","yatin.sarma941@gmail.com","06/59, Bal Road","Chandigarh","Chandigarh","399049","India","EXNGQ5135L","233459268687","2024-07-03","Low","Verified","Active"
"54","CUST000054","Anusha","Gill","Anusha Gill","Female","2003-07-09","Married","Marketing Manager","2399977","9628840098","anusha.gill587@gmail.com","74/29
Swamy Marg","Jaipur","Rajasthan","756551","India","REWAF3362Y","889255865377","2024-07-03","Low","Pending","Active"
"55","CUST000055","Faris","Narayan","Faris Narayan","Male","1987-07-13","Married","Retired","1342231","9143946606","faris.narayan827@gmail.com","74/680
Chakrabarti Chowk","Noida","Uttar Pradesh","451680","India","GBGJU3527X","330947104551","2024-07-03","Low","Verified","Active"
"56","CUST000056","Vihaan","Sachdev","Vihaan Sachdev","Male","2008-07-07","Single","Sales Executive","880027","9761221122","vihaan.sachdev811@gmail.com","859, Sathe Chowk","Kolkata","West Bengal","348247","India","BGGQP4203O","139368338891","2016-07-05","Low","Verified","Active"
"57","CUST000057","Xavier","Dara","Xavier Dara","Male","1947-07-23","Single","Electrician","670859","9655659474","xavier.dara308@gmail.com","93/248, Reddy Nagar","Howrah","West Bengal","317127","India","VBWUR3280U","321434555984","2025-07-03","Medium","Verified","Active"
"58","CUST000058","Madhav","Upadhyay","Madhav Upadhyay","Male","2002-07-09","Married","Police Officer","9724635","9393710275","madhav.upadhyay714@gmail.com","77
Shan Ganj","Ghaziabad","Uttar Pradesh","639821","India","OLKUP9199E","301491913424","2011-07-07","Low","Verified","Active"
"59","CUST000059","Lakshit","Sachdeva","Lakshit Sachdeva","Male","1957-07-20","Married","Software Engineer","4840129","9655344761","lakshit.sachdeva683@gmail.com","40/44
Suri","Nagpur","Maharashtra","787558","India","LAPFP7370A","727801813428","2016-07-05","Low","Verified","Active"
"60","CUST000060","Ranbir","Shah","Ranbir Shah","Male","1969-07-17","Single","Lawyer","244434","9916541316","ranbir.shah720@gmail.com","396
Roy Ganj","Bhopal","Madhya Pradesh","576627","India","XYEEH4065K","868941356447","2012-07-06","Low","Verified","Active"
"61","CUST000061","Anita","Date","Anita Date","Female","2006-07-08","Single","Shopkeeper","1818666","9151178380","anita.date746@gmail.com","H.No. 718
Aurora Chowk","Warangal","Telangana","621745","India","LFLTQ5055J","802808182768","2013-07-06","Low","Verified","Active"
"62","CUST000062","Rushil","Buch","Rushil Buch","Male","1972-07-16","Married","Mechanical Engineer","482469","9595981740","rushil.buch293@gmail.com","86/578
Biswas Nagar","Delhi","Delhi","431611","India","WDWGS5055Y","831663077476","2015-07-06","Low","Verified","Active"
"63","CUST000063","Vamakshi","Ganesan","Vamakshi Ganesan","Female","1962-07-19","Divorced","Police Officer","6827290","9643251878","vamakshi.ganesan790@gmail.com","H.No. 050
Parmer Road","Ghaziabad","Uttar Pradesh","623869","India","BCULD3588O","494998388030","2021-07-04","Low","Verified","Active"
"64","CUST000064","Hemangini","Garde","Hemangini Garde","Female","1967-07-18","Single","Business Owner","611895","9106894103","hemangini.garde758@gmail.com","H.No. 969, Tank Ganj","Patna","Bihar","374740","India","UCJHJ3181U","915064761468","2024-07-03","Medium","Verified","Active"
"65","CUST000065","Vidhi","Mani","Vidhi Mani","Female","1947-07-23","Married","Accountant","645211","9576863557","vidhi.mani312@gmail.com","H.No. 759, Samra Road","Kochi","Kerala","743671","India","QUUGK4949P","608033384514","2024-07-03","Low","Verified","Active"
"66","CUST000066","Jagat","Raj","Jagat Raj","Male","1948-07-22","Married","Driver","829553","9305623528","jagat.raj559@gmail.com","44/06
Anand Road","Delhi","Delhi","974395","India","IPTQQ6081W","492291606610","2022-07-04","Medium","Verified","Active"
"67","CUST000067","Imaran","Gupta","Imaran Gupta","Male","1998-07-10","Married","Mechanical Engineer","1943611","9552964508","imaran.gupta180@gmail.com","21/047
Patla Nagar","Mysuru","Karnataka","145623","India","JGCOS4742X","508243198597","2013-07-06","Low","Verified","Active"
"68","CUST000068","Dominic","Zacharia","Dominic Zacharia","Male","1972-07-16","Married","Driver","5385277","9988730432","dominic.zacharia813@gmail.com","84/24
Merchant Chowk","Noida","Uttar Pradesh","171236","India","HQMPM4201X","972042388906","2017-07-05","Low","Verified","Active"
"69","CUST000069","Qadim","Chana","Qadim Chana","Male","1946-07-23","Divorced","Mechanical Engineer","523017","9447556350","qadim.chana688@gmail.com","H.No. 481
Pillay Chowk","Delhi","Delhi","965137","India","ZGGIU6345K","429171143137","2012-07-06","Low","Verified","Active"
"70","CUST000070","Advik","Narang","Advik Narang","Male","1956-07-20","Married","Retired","221144","9693028198","advik.narang579@gmail.com","17/461, Bath Street","Chennai","Tamil Nadu","471138","India","TGMUD1195B","891836652800","2012-07-06","Medium","Verified","Active"
"71","CUST000071","Ekanta","Rama","Ekanta Rama","Female","2006-07-08","Married","Doctor","984512","9361212806","ekanta.rama261@gmail.com","H.No. 86
Dubey","Kanpur","Uttar Pradesh","179640","India","QMWMC7275E","467295037473","2016-07-05","Low","Verified","Active"
"72","CUST000072","Qasim","Kalla","Qasim Kalla","Male","2005-07-08","Married","Electrician","6952551","9922577795","qasim.kalla826@gmail.com","35
Pillai Zila","Hyderabad","Telangana","064317","India","KYZEG6210Z","735735198895","2021-07-04","Low","Verified","Active"
"73","CUST000073","Chakradev","Kala","Chakradev Kala","Male","1978-07-15","Single","Retired","3429248","9401711530","chakradev.kala731@gmail.com","H.No. 532, Jha","Amritsar","Punjab","839335","India","YKCHD3580X","979619697251","2017-07-05","Medium","Verified","Active"
"74","CUST000074","Ethan","Agate","Ethan Agate","Male","1983-07-14","Married","Student","595464","9991729180","ethan.agate735@gmail.com","284
Choudhary Street","Shimla","Himachal Pradesh","205395","India","RSIAF2110L","210379843514","2019-07-05","Low","Verified","Active"
"75","CUST000075","Abhiram","Ghosh","Abhiram Ghosh","Male","1992-07-11","Divorced","Teacher","1931064","9939874664","abhiram.ghosh64@gmail.com","H.No. 268
Bhatt Zila","Coimbatore","Tamil Nadu","758917","India","CFESS9849I","620354000864","2023-07-04","Low","Verified","Active"
"76","CUST000076","Zayan","Kant","Zayan Kant","Male","1989-07-12","Married","Electrician","969174","9318342422","zayan.kant73@gmail.com","84/700, Ratti Chowk","Kanpur","Uttar Pradesh","177115","India","DSCRV7782Y","558845848409","2025-07-03","Low","Verified","Active"
"77","CUST000077","Falak","Bhatti","Falak Bhatti","Female","2001-07-09","Married","HR Manager","290638","9306281537","falak.bhatti836@gmail.com","H.No. 99, Nair Circle","Varanasi","Uttar Pradesh","984789","India","BKKIH8506A","765441579951","2017-07-05","Medium","Verified","Active"
"78","CUST000078","Tanveer","Chaudhary","Tanveer Chaudhary","Male","1972-07-16","Married","Doctor","290282","9460423373","tanveer.chaudhary873@gmail.com","83/673, Nori Marg","Raipur","Chhattisgarh","661565","India","MSCWD8259Y","824612877885","2021-07-04","Low","Verified","Active"
"79","CUST000079","Lakshmi","Prasad","Lakshmi Prasad","Female","1952-07-21","Married","Farmer","301063","9103134396","lakshmi.prasad257@gmail.com","71/111, Char Marg","Amritsar","Punjab","280988","India","JPEWP6730L","187623159866","2018-07-05","Low","Verified","Active"
"80","CUST000080","Omya","Das","Omya Das","Female","1978-07-15","Married","Farmer","1264651","9543324683","omya.das114@gmail.com","H.No. 60
Muni Road","Mumbai","Maharashtra","198327","India","AZZVO5631J","643232696152","2025-07-03","Medium","Verified","Active"
"81","CUST000081","Jasmit","Chokshi","Jasmit Chokshi","Female","1962-07-19","Single","Electrician","636015","9859837664","jasmit.chokshi973@gmail.com","51/49
Sanghvi Ganj","Agra","Uttar Pradesh","940244","India","RNVVW3967J","012871630373","2016-07-05","Low","Verified","Active"
"82","CUST000082","Omkaar","Panchal","Omkaar Panchal","Male","1953-07-21","Married","Student","237337","9354819398","omkaar.panchal478@gmail.com","296, Dhar Zila","Delhi","Delhi","183667","India","DWECI3897K","602717470664","2011-07-07","Low","Verified","Active"
"83","CUST000083","Onkar","Dugar","Onkar Dugar","Male","1951-07-22","Single","Driver","299917","9431530094","onkar.dugar542@gmail.com","H.No. 59
Chad","Mumbai","Maharashtra","229014","India","PIXZI9031L","719802920517","2025-07-03","Low","Verified","Active"
"84","CUST000084","Vaishnavi","Samra","Vaishnavi Samra","Female","2005-07-08","Married","Software Engineer","861628","9541663662","vaishnavi.samra630@gmail.com","76/43
Comar Circle","Srinagar","Jammu & Kashmir","614978","India","SKXNQ5631D","746789341596","2011-07-07","Low","Verified","Active"
"85","CUST000085","Nikita","Bath","Nikita Bath","Female","1966-07-18","Married","Teacher","539347","9192401028","nikita.bath330@gmail.com","90, Jayaraman Nagar","Shimla","Himachal Pradesh","324451","India","LDWXA3267V","638927331448","2011-07-07","Medium","Verified","Active"
"86","CUST000086","Aarush","Tank","Aarush Tank","Male","1946-07-23","Married","Farmer","1955491","9113306891","aarush.tank952@gmail.com","268
Tella Ganj","Delhi","Delhi","160607","India","MXLBR1202W","857729856647","2011-07-07","Low","Verified","Active"
"87","CUST000087","Brinda","Munshi","Brinda Munshi","Female","1951-07-22","Divorced","Doctor","1979760","9180429026","brinda.munshi422@gmail.com","66/41
Bail Marg","Dehradun","Uttarakhand","297516","India","VCLOC9166O","397040587968","2020-07-04","Low","Verified","Active"
"88","CUST000088","Damyanti","Kohli","Damyanti Kohli","Female","1954-07-21","Married","Shopkeeper","448058","9603675318","damyanti.kohli514@gmail.com","68/16
Nori Road","Vadodara","Gujarat","521818","India","DSSCP4072D","934771498574","2022-07-04","High","Verified","Active"
"89","CUST000089","Yashodhara","Hari","Yashodhara Hari","Female","1955-07-21","Married","Driver","292905","9453997299","yashodhara.hari473@gmail.com","H.No. 23
Dhingra Zila","Patna","Bihar","329212","India","UDPXN9975K","796262369695","2016-07-05","Medium","Verified","Active"
"90","CUST000090","Xiti","Shetty","Xiti Shetty","Female","1965-07-18","Married","Shopkeeper","960051","9830027961","xiti.shetty73@gmail.com","99/552
Bir Chowk","Bhubaneswar","Odisha","744905","India","RHTAV2679T","878752772693","2016-07-05","High","Verified","Active"
"91","CUST000091","Zehaan","Borah","Zehaan Borah","Male","1955-07-21","Single","Police Officer","486583","9790971022","zehaan.borah174@gmail.com","70
Pillay Nagar","Ranchi","Jharkhand","119986","India","PGISE3518K","576837507595","2021-07-04","Low","Verified","Active"
"92","CUST000092","Vihaan","Barman","Vihaan Barman","Male","1966-07-18","Single","Police Officer","614529","9813269208","vihaan.barman400@gmail.com","35/97
Dora Circle","Surat","Gujarat","715182","India","XYKOH9468Y","384081591950","2024-07-03","Low","Verified","Active"
"93","CUST000093","Anusha","Kota","Anusha Kota","Female","1995-07-11","Married","Marketing Manager","891586","9400120894","anusha.kota471@gmail.com","88
Dutt","Lucknow","Uttar Pradesh","546659","India","QLARN2036Y","708352662938","2026-07-03","Low","Verified","Active"
"94","CUST000094","Atharv","Natt","Atharv Natt","Male","1990-07-12","Divorced","Accountant","8130046","9855105593","atharv.natt776@gmail.com","H.No. 18, Mander Marg","Ludhiana","Punjab","925192","India","TSFXW3333F","162165079560","2024-07-03","Low","Verified","Active"
"95","CUST000095","Pushti","Mukherjee","Pushti Mukherjee","Female","2000-07-09","Married","Civil Engineer","252452","9136615891","pushti.mukherjee330@gmail.com","914
Puri Circle","Kochi","Kerala","281685","India","GFTLV3200V","784335168815","2018-07-05","Medium","Verified","Active"
"96","CUST000096","Adya","Patil","Adya Patil","Female","1968-07-17","Single","Student","903283","9161385815","adya.patil102@gmail.com","357
Kara Ganj","Chandigarh","Chandigarh","214188","India","KNRWU3717Y","541969743240","2015-07-06","Low","Verified","Active"
"97","CUST000097","Zansi","Barad","Zansi Barad","Female","1978-07-15","Married","Doctor","840014","9582516368","zansi.barad539@gmail.com","29/62
Golla Street","Kolkata","West Bengal","706537","India","GZFKV6653P","780842521168","2019-07-05","Low","Verified","Active"
"98","CUST000098","Meghana","Sen","Meghana Sen","Female","1995-07-11","Married","Marketing Manager","627754","9760502195","meghana.sen587@gmail.com","34/73, Sastry Path","Indore","Madhya Pradesh","468862","India","QWSVY4548O","644241576516","2012-07-06","Low","Verified","Active"
"99","CUST000099","Harish","Devi","Harish Devi","Male","1996-07-10","Married","Driver","420093","9885706950","harish.devi970@gmail.com","H.No. 758
Varty Zila","Pune","Maharashtra","412478","India","UQNJB9680N","287357760142","2024-07-03","Low","Verified","Active"
"100","CUST000100","Ethan","Sarkar","Ethan Sarkar","Male","1972-07-16","Married","Driver","696624","9916284326","ethan.sarkar783@gmail.com","750, Bera Marg","Mumbai","Maharashtra","853615","India","FOOEO8925I","957318127915","2016-07-05","Medium","Verified","Active"
"101","CUST000101","Isaac","Bala","Isaac Bala","Male","1947-07-23","Married","Teacher","276193","9520039657","isaac.bala621@gmail.com","H.No. 522
Mangat Nagar","Kolkata","West Bengal","277901","India","BUEMA9489J","175666369023","2014-07-06","Low","Verified","Active"
"102","CUST000102","Adya","Kunda","Adya Kunda","Female","1973-07-16","Single","Shopkeeper","682178","9644015553","adya.kunda129@gmail.com","898, Choudhry Marg","Ghaziabad","Uttar Pradesh","341036","India","UYWVO8254M","577944501069","2019-07-05","Medium","Verified","Active"
"103","CUST000103","Veer","Bhatnagar","Veer Bhatnagar","Male","1993-07-11","Single","Sales Executive","379302","9682969417","veer.bhatnagar903@gmail.com","98, Varma Nagar","Mysuru","Karnataka","246095","India","GFVVJ2747D","966675046498","2018-07-05","Low","Pending","Active"
