account_id,account_number,customer_id,account_type_id,branch_id,opening_date,current_balance,available_balance,account_status,currency,nominee_registered,internet_banking,mobile_banking,debit_card,cheque_book,last_transaction_date,average_monthly_balance,interest_rate,account_rating
75,866533357163,56,5,18,2011-07-06,240164,236490,Active,INR,No,Yes,Yes,Yes,No,2026-01-28,218815.49,6.25,Excellent
76,220528838961,57,1,64,2026-07-02,160055,155834,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-05-16,154572.88,3.5,Excellent
77,619147005473,58,1,6,2014-07-05,8618,5560,Active,INR,Yes,No,Yes,Yes,Yes,2026-02-04,8566.94,3.5,Good
78,793545010398,58,1,24,2022-07-03,2948770,2948254,Active,INR,No,Yes,Yes,Yes,No,2026-04-13,3165057.54,3.5,Good
79,492070860877,58,9,100,2025-07-02,116405,113686,Active,INR,Yes,Yes,Yes,Yes,No,2026-04-07,126822.02,4.0,Good
80,301100424526,59,4,70,2017-07-04,8507,5876,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-03-11,7151.14,6.75,Excellent
81,664201125215,60,1,96,2021-07-03,65037,64782,Active,INR,Yes,No,Yes,Yes,No,2026-03-31,54947.17,3.5,Poor
82,252788830639,60,1,68,2015-07-05,147247,143987,Active,INR,Yes,No,Yes,Yes,Yes,2026-02-09,110008.88,3.5,Average
83,290920069592,61,1,92,2012-07-05,328595,327876,Active,INR,No,No,Yes,Yes,Yes,2026-04-19,347171.35,3.5,Average
84,253725751531,61,2,31,2011-07-06,1509032,1508817,Active,INR,Yes,Yes,No,Yes,No,2026-06-16,1243014.24,0.0,Poor
85,613033733961,62,1,88,2015-07-05,69334,68283,Active,INR,Yes,Yes,Yes,No,Yes,2026-06-18,71591.26,3.5,Good
86,413081322878,62,1,11,2018-07-04,562832,561224,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-05-20,527217.89,3.5,Good
87,147593489764,63,2,83,2018-07-04,243196,241470,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-16,217217.3,0.0,Average
88,474538426922,64,1,78,2022-07-03,13927,11367,Active,INR,Yes,No,Yes,Yes,No,2026-02-21,12877.75,3.5,Good
89,778021420947,65,1,54,2019-07-04,253064,251756,Active,INR,No,Yes,Yes,Yes,No,2026-03-05,227632.05,3.5,Good
90,409454714700,66,5,64,2011-07-06,39966,37626,Active,INR,Yes,Yes,No,Yes,No,2026-03-31,28699.46,6.25,Excellent
91,787147912287,67,1,88,2023-07-03,151280,150226,Frozen,INR,Yes,No,Yes,Yes,No,2026-05-13,142352.24,3.5,Good
92,252537935638,68,1,42,2016-07-04,186140,184809,Active,INR,Yes,No,Yes,Yes,Yes,2026-02-27,183067.93,3.5,Good
93,752949477651,69,1,61,2018-07-04,130656,125918,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-03-27,99182.31,3.5,Average
94,857687894266,69,1,27,2013-07-05,22504,18394,Active,INR,No,No,Yes,Yes,Yes,2026-05-10,20801.68,3.5,Poor
95,850420656911,70,1,83,2018-07-04,40125,35128,Active,INR,No,Yes,Yes,Yes,No,2026-04-20,39401.16,3.5,Average
96,538001454361,71,1,45,2022-07-03,125443,123064,Active,INR,No,Yes,No,Yes,No,2026-05-09,97949.31,3.5,Good
97,347093941718,72,2,82,2019-07-04,112727,112297,Active,INR,Yes,Yes,Yes,Yes,No,2026-05-23,97256.68,0.0,Poor
98,945713149539,72,3,12,2019-07-04,125300,120917,Active,INR,Yes,Yes,No,Yes,No,2026-06-23,137688.25,3.0,Good
99,410676640252,73,5,59,2011-07-06,52430,51331,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-28,51771.44,6.25,Excellent
100,836160973311,74,1,13,2021-07-03,21502,20351,Active,INR,No,Yes,Yes,Yes,Yes,2026-04-09,17648.38,3.5,Average
101,652702477657,75,2,91,2017-07-04,14072,13111,Active,INR,No,Yes,Yes,Yes,Yes,2026-03-08,14059.25,0.0,Good
102,189281077298,76,1,68,2012-07-05,107256,102930,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-02-06,98103.21,3.5,Good
103,163602848199,77,1,59,2022-07-03,178144,173940,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-28,182879.3,3.5,Average
104,176855083008,77,1,61,2025-07-02,140317,137966,Active,INR,Yes,No,No,Yes,Yes,2026-03-27,123396.85,3.5,Poor
105,681508758920,78,1,17,2019-07-04,1748573,1748545,Active,INR,No,Yes,Yes,Yes,Yes,2026-05-05,1397118.25,3.5,Good
106,120998272699,79,5,31,2020-07-03,844794,844243,Active,INR,Yes,Yes,Yes,Yes,No,2026-03-22,739689.06,6.25,Good
107,450366726043,80,3,74,2016-07-04,445537,443597,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-02-01,468653.94,3.0,Poor
108,519495221903,80,2,68,2016-07-04,249162,245752,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-05-27,254720.92,0.0,Poor
109,810088072580,81,7,11,2012-07-05,44734,41695,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-06-14,34680.72,3.5,Average
110,310183500752,82,1,95,2023-07-03,7854,3931,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-21,6693.69,3.5,Good
111,894488713134,82,1,61,2016-07-04,4285,2621,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-02-03,3992.15,3.5,Good
112,472308581268,83,1,33,2011-07-06,114417,110399,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-02-14,125415.84,3.5,Poor
113,174008442880,84,3,91,2022-07-03,632425,632351,Active,INR,Yes,Yes,Yes,Yes,No,2026-01-15,566110.02,3.0,Excellent
114,841731656808,85,1,56,2021-07-03,190441,189565,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-03-23,139328.1,3.5,Poor
115,198920331732,86,1,52,2014-07-05,71134,68045,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-09,65894.46,3.5,Average
116,148408984648,87,1,10,2018-07-04,105422,100974,Active,INR,Yes,No,Yes,No,Yes,2026-03-23,112964.94,3.5,Good
117,897529515996,88,1,11,2015-07-05,136961,136522,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-10,97495.72,3.5,Good
118,519449391948,89,1,11,2017-07-04,148416,146398,Active,INR,Yes,Yes,Yes,Yes,No,2026-04-12,125304.67,3.5,Excellent
119,591477314669,89,5,72,2013-07-05,7286,6440,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-19,6306.21,6.25,Average
120,251051859836,89,2,35,2017-07-04,199936,197738,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-29,215468.81,0.0,Average
121,519275532872,90,2,43,2012-07-05,519458,516716,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-01-06,405354.17,0.0,Good
122,532872000659,91,7,47,2023-07-03,42179,37560,Active,INR,No,Yes,Yes,Yes,No,2026-05-10,36922.74,3.5,Good
123,270332660466,91,2,92,2013-07-05,42723,39635,Active,INR,No,Yes,Yes,Yes,No,2026-01-06,37054.52,0.0,Excellent
124,489401895165,91,7,22,2025-07-02,48917,44304,Frozen,INR,Yes,Yes,Yes,No,Yes,2026-06-30,36171.31,3.5,Good
125,747163762980,92,1,89,2022-07-03,24486,21661,Closed,INR,Yes,Yes,No,Yes,No,2026-05-27,20551.87,3.5,Good
126,596913814495,92,3,41,2024-07-02,41650,39191,Active,INR,Yes,Yes,Yes,Yes,No,2026-05-01,37751.46,3.0,Good
127,575269518531,93,1,51,2026-07-02,25195,23579,Active,INR,Yes,Yes,Yes,Yes,No,2026-06-16,23455.01,3.5,Average
128,446342334150,94,1,77,2014-07-05,475098,471883,Active,INR,Yes,No,Yes,Yes,No,2026-04-17,507154.3,3.5,Good
129,527395738401,95,1,54,2022-07-03,80658,75950,Active,INR,Yes,Yes,Yes,Yes,No,2026-02-10,61844.22,3.5,Good
130,656462757843,96,3,84,2011-07-06,33530,30179,Active,INR,Yes,No,Yes,Yes,Yes,2026-05-07,27388.51,3.0,Good
131,392548289956,97,1,100,2015-07-05,7492,3052,Active,INR,Yes,Yes,Yes,No,Yes,2026-01-16,7496.03,3.5,Good
132,989959650135,98,1,95,2015-07-05,323089,318090,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-04,294951.93,3.5,Good
133,246437877032,98,1,97,2013-07-05,120083,119598,Closed,INR,Yes,Yes,No,Yes,No,2026-04-30,120634.11,3.5,Average
134,202086580471,98,1,52,2018-07-04,9460,6437,Active,INR,Yes,Yes,No,Yes,Yes,2026-03-07,9024.24,3.5,Average
135,412795354062,99,3,44,2022-07-03,24276,19639,Active,INR,Yes,No,Yes,Yes,Yes,2026-03-07,17151.3,3.0,Poor
136,816753366914,99,1,39,2021-07-03,412147,409903,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-01-23,338868.79,3.5,Average
137,667907165425,100,2,88,2012-07-05,1559,1483,Active,INR,Yes,Yes,No,Yes,Yes,2026-05-05,1330.18,0.0,Average
138,847293987706,101,1,19,2024-07-02,4902,557,Active,INR,Yes,Yes,Yes,Yes,No,2026-03-19,4639.4,3.5,Good
139,371183505731,102,3,36,2024-07-02,18072,16040,Active,INR,Yes,Yes,Yes,Yes,No,2026-01-15,18981.58,3.0,Good
140,646496284838,103,1,82,2024-07-02,29369,25042,Active,INR,Yes,Yes,Yes,Yes,No,2026-03-17,24851.02,3.5,Average
141,168386957333,104,6,51,2017-07-04,11094,6990,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-06-11,9141.04,3.5,Good
142,816548835033,104,1,88,2024-07-02,135656,133116,Active,INR,Yes,No,Yes,Yes,Yes,2026-03-08,128183.89,3.5,Excellent
143,646164502396,105,2,45,2018-07-04,53321,51954,Active,INR,Yes,No,Yes,Yes,No,2026-04-08,54539.02,0.0,Good
144,282823383819,106,2,48,2021-07-03,15051,12962,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-06-29,12008.0,0.0,Good
145,894207548717,107,1,41,2018-07-04,46233,45595,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-06-21,50007.08,3.5,Excellent
146,418689455961,108,1,73,2017-07-04,5090,3103,Active,INR,Yes,Yes,Yes,Yes,No,2026-05-01,3869.55,3.5,Poor
147,902033957947,109,1,40,2023-07-03,31956,30276,Active,INR,Yes,Yes,Yes,No,No,2026-06-09,22930.35,3.5,Good
148,183298104534,110,1,76,2025-07-02,72257,68694,Active,INR,Yes,Yes,No,Yes,Yes,2026-04-10,59772.66,3.5,Good
149,445599075156,110,1,53,2023-07-03,18921,14531,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-01-08,15547.12,3.5,Average
150,664342572778,111,1,7,2017-07-04,2041106,2038975,Active,INR,Yes,No,No,Yes,Yes,2026-06-08,1806005.9,3.5,Average
151,812696457367,112,1,11,2018-07-04,101940,101326,Active,INR,Yes,No,Yes,Yes,No,2026-04-09,76354.19,3.5,Poor
152,487289257954,113,4,28,2021-07-03,180057,177805,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-03-19,189620.08,6.75,Good
153,974213348746,114,1,3,2014-07-05,3645576,3642635,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-06-26,3016900.16,3.5,Good
154,208059765757,115,3,32,2019-07-04,188788,186605,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-03-25,158944.74,3.0,Average
155,132605512667,115,3,91,2015-07-05,25503,20853,Active,INR,Yes,Yes,No,Yes,Yes,2026-04-14,19642.99,3.0,Excellent
156,985628545900,116,2,17,2016-07-04,200717,199264,Active,INR,Yes,Yes,Yes,Yes,No,2026-06-04,208463.14,0.0,Average
157,275989981514,117,1,94,2013-07-05,48406,44415,Active,INR,Yes,No,Yes,Yes,No,2026-05-06,46770.49,3.5,Average
158,731139852789,117,1,51,2025-07-02,964235,962744,Active,INR,No,No,Yes,Yes,No,2026-05-27,802694.17,3.5,Excellent
159,468880368004,117,1,58,2026-07-02,73259,71087,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-03-12,72748.66,3.5,Poor
160,815447300560,118,1,98,2019-07-04,593581,592249,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-06,455895.19,3.5,Good
161,133090595507,118,2,56,2021-07-03,822887,817912,Active,INR,Yes,Yes,Yes,Yes,No,2026-02-14,663334.07,0.0,Good
162,196325834133,119,1,38,2011-07-06,46023,44388,Active,INR,Yes,Yes,No,Yes,Yes,2026-03-23,40885.81,3.5,Average
163,387954437064,120,2,57,2012-07-05,22117,19960,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-05,22631.71,0.0,Good
164,623712684551,121,1,74,2019-07-04,186992,183091,Active,INR,Yes,No,Yes,Yes,Yes,2026-02-06,181571.84,3.5,Good
165,564039759559,121,1,11,2013-07-05,21330,19676,Closed,INR,Yes,No,Yes,Yes,No,2026-06-15,15673.52,3.5,Good
166,562918815025,122,3,15,2013-07-05,53242,52017,Active,INR,Yes,No,No,Yes,Yes,2026-06-07,54003.27,3.0,Average
167,401387302916,123,3,52,2022-07-03,35104,30118,Active,INR,Yes,Yes,No,Yes,Yes,2026-03-03,37502.8,3.0,Average
168,352840000370,123,1,18,2017-07-04,123492,119863,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-03-20,123044.7,3.5,Average
169,955281103436,124,3,68,2026-07-02,67202,65779,Active,INR,Yes,No,Yes,Yes,No,2026-01-03,52393.63,3.0,Good
170,295189527983,124,1,61,2015-07-05,18119,15299,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-05-22,18871.46,3.5,Average
171,958412049179,125,1,99,2026-07-02,120539,116656,Active,INR,Yes,Yes,Yes,Yes,No,2026-04-15,118742.51,3.5,Average
172,536470064679,126,3,75,2023-07-03,40081,40021,Active,INR,Yes,No,Yes,Yes,Yes,2026-04-17,39029.49,3.0,Good
173,429215541680,127,1,25,2022-07-03,3982544,3978307,Active,INR,Yes,No,Yes,Yes,No,2026-01-09,3010690.97,3.5,Excellent
174,731337659962,128,1,25,2016-07-04,151784,149963,Active,INR,Yes,Yes,No,Yes,Yes,2026-05-20,157287.0,3.5,Average
175,818701068874,129,1,12,2019-07-04,26952,24042,Active,INR,Yes,Yes,No,Yes,Yes,2026-03-06,28043.17,3.5,Good
176,681459841773,130,1,39,2013-07-05,724789,724347,Active,INR,Yes,No,Yes,No,No,2026-03-07,548875.22,3.5,Average
177,104544133781,130,1,58,2018-07-04,41955,40240,Active,INR,Yes,No,Yes,Yes,Yes,2026-01-26,36647.04,3.5,Good
178,930312582992,131,1,68,2020-07-03,12473,12327,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-03-26,11242.35,3.5,Good
179,855433096260,132,1,18,2016-07-04,39880,35865,Active,INR,Yes,No,No,Yes,Yes,2026-05-30,31284.91,3.5,Excellent
180,155811726647,133,1,85,2023-07-03,612,451,Active,INR,Yes,Yes,Yes,Yes,No,2026-05-11,598.58,3.5,Good
181,892471222369,134,2,80,2023-07-03,639171,636856,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-05-12,538929.0,0.0,Good
182,836905374966,135,1,64,2022-07-03,3402,2665,Active,INR,Yes,Yes,No,Yes,Yes,2026-04-18,2740.82,3.5,Excellent
183,936879728716,136,3,6,2026-07-02,4760,3627,Active,INR,Yes,Yes,Yes,Yes,No,2026-06-09,4041.47,3.0,Good
184,562997041133,136,1,84,2021-07-03,604453,603527,Active,INR,Yes,No,No,Yes,No,2026-03-01,617089.64,3.5,Average
185,554783752986,137,1,57,2025-07-02,11889,11371,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-02-08,9387.48,3.5,Poor
186,523661606160,138,1,20,2025-07-02,115163,115068,Active,INR,Yes,No,No,Yes,Yes,2026-02-27,95384.16,3.5,Good
187,186908663260,138,1,59,2012-07-05,24596,19902,Active,INR,Yes,Yes,Yes,Yes,No,2026-06-06,21186.4,3.5,Excellent
188,500895916162,139,3,7,2019-07-04,183258,179536,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-06-08,183941.18,3.0,Good
189,284240684348,140,3,64,2022-07-03,4783,1431,Active,INR,Yes,Yes,No,Yes,Yes,2026-05-15,4719.46,3.0,Excellent
190,248194400168,141,4,64,2026-07-02,168098,163754,Active,INR,Yes,Yes,Yes,Yes,No,2026-05-18,164185.87,6.75,Good
191,769926854596,142,1,89,2019-07-04,49726,47485,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-02-21,40753.7,3.5,Average
192,480906095118,142,3,87,2022-07-03,102662,101206,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-02-06,110574.1,3.0,Average
193,260549615498,143,3,7,2025-07-02,8747,7110,Active,INR,Yes,No,Yes,Yes,Yes,2026-04-18,6836.66,3.0,Good
194,979595702833,144,1,90,2017-07-04,197134,196750,Dormant,INR,Yes,No,No,Yes,Yes,2026-06-29,196634.85,3.5,Good
195,317339892130,145,3,100,2020-07-03,146402,143993,Active,INR,No,Yes,No,Yes,Yes,2026-06-22,127575.16,3.0,Good
196,143614558368,145,1,20,2016-07-04,51480,46591,Active,INR,No,Yes,Yes,Yes,Yes,2026-04-02,37536.76,3.5,Average
197,200516910915,146,6,45,2019-07-04,182420,180673,Active,INR,Yes,Yes,No,Yes,Yes,2026-02-09,187796.9,3.5,Poor
