beneficiary_id,beneficiary_code,account_id,beneficiary_name,beneficiary_bank,beneficiary_account_number,ifsc_code,relationship,beneficiary_type,city,state,mobile_number,email,added_date,status
51,BEN397571,35,Nathan Sura,IndusInd Bank,828063322537,BKAI763686,Spouse,External,Tadipatri,Assam,4316117240,nathan.sura@gmail.com,2025-05-16,Active
52,BEN335552,35,Rachita Prasad,IndusInd Bank,318212526070,BKAI254511,Self,External,Ulhasnagar,Haryana,9222196937,rachita.prasad@gmail.com,2023-09-04,Inactive
53,BEN577538,35,Joshua Sharaf,Yes Bank,734065014236,BKAI303880,Friend,External,Bangalore,Uttar Pradesh,4821759464,joshua.sharaf@gmail.com,2022-02-11,Active
54,BEN887443,35,Wyatt Chhabra,BankAI,949804121401,BKAI211764,Friend,Internal,Eluru,Odisha,9440640909,wyatt.chhabra@gmail.com,2023-12-19,Active
55,BEN989545,36,Imaran Gupta,State Bank of India,598737437558,BKAI239816,Friend,External,Durgapur,Rajasthan,0470952145,imaran.gupta@gmail.com,2018-12-07,Active
56,BEN742412,36,Rajeshri Wali,Bank of Baroda,893774408754,BKAI629298,Brother,External,Dehradun,Himachal Pradesh,4517123685,rajeshri.wali@gmail.com,2020-04-10,Active
57,BEN571932,36,Diya Sha,BankAI,925746940063,BKAI359249,Friend,Internal,Firozabad,Odisha,5137098593,diya.sha@gmail.com,2023-04-24,Active
58,BEN387936,36,Dalbir Dey,IndusInd Bank,183493617047,BKAI848206,Mother,External,Agra,Jharkhand,1138267586,dalbir.dey@gmail.com,2023-05-17,Active
59,BEN342495,37,Yash Reddy,BankAI,861854335443,BKAI260227,Friend,Internal,Patna,Tamil Nadu,3773515850,yash.reddy@gmail.com,2025-09-12,Active
60,BEN165290,37,Vasana Chand,Union Bank of India,527006264991,BKAI907189,Spouse,External,Kavali,Andhra Pradesh,5329318393,vasana.chand@gmail.com,2018-08-15,Active
61,BEN600149,37,Manya Dhillon,Kotak Mahindra Bank,427928307068,BKAI890075,Brother,External,Panvel,Himachal Pradesh,1020539502,manya.dhillon@gmail.com,2017-01-17,Active
62,BEN611945,38,Dakshesh Bhatt,Kotak Mahindra Bank,397295152191,BKAI557007,Sister,External,Sultan Pur Majra,Tripura,8917839084,dakshesh.bhatt@gmail.com,2022-01-22,Active
63,BEN981334,38,Sai Sandhu,Canara Bank,686788125561,BKAI128276,Business Partner,External,Pallavaram,Tamil Nadu,1159212499,sai.sandhu@gmail.com,2019-10-13,Active
64,BEN290556,40,Vasana Tiwari,BankAI,383683812395,BKAI497519,Mother,Internal,Navi Mumbai,Uttar Pradesh,8367365766,vasana.tiwari@gmail.com,2021-04-27,Active
65,BEN888539,40,Lakshmi Prasad,Canara Bank,376688514097,BKAI975467,Self,External,Bhalswa Jahangir Pur,Assam,1161528098,lakshmi.prasad@gmail.com,2026-03-15,Active
66,BEN919182,42,Peter Sampath,BankAI,817076081491,BKAI142213,Friend,Internal,Tumkur,Punjab,5198327315,peter.sampath@gmail.com,2023-08-25,Active
67,BEN350132,42,Isaiah Sanghvi,BankAI,620233157780,BKAI801978,Self,Internal,Narasaraopet,Sikkim,0244550229,isaiah.sanghvi@gmail.com,2023-12-23,Active
68,BEN275939,42,Chandani Wali,BankAI,768322220181,BKAI884256,Friend,Internal,Gandhinagar,Maharashtra,5254599102,chandani.wali@gmail.com,2017-09-12,Active
69,BEN427110,42,Laban Savant,HDFC Bank,845502370306,BKAI493537,Brother,External,Shivpuri,Punjab,6438156149,laban.savant@gmail.com,2018-05-27,Active
70,BEN831059,43,Imaran Rana,Axis Bank,434030261940,BKAI991597,Friend,External,Chennai,Gujarat,3244510762,imaran.rana@gmail.com,2017-05-21,Active
71,BEN464069,43,Zashil Pandya,Yes Bank,570439558680,BKAI793655,Brother,External,Sikar,West Bengal,6071596966,zashil.pandya@gmail.com,2020-09-29,Active
72,BEN766459,45,Omaja Garg,Canara Bank,879363646037,BKAI260422,Sister,External,Mirzapur,Assam,1369681645,omaja.garg@gmail.com,2018-03-11,Active
73,BEN587455,45,Yashodhara Comar,Kotak Mahindra Bank,751679795363,BKAI381433,Mother,External,Karnal,Kerala,3124329212,yashodhara.comar@gmail.com,2023-09-01,Active
74,BEN697530,47,Ojasvi Mutti,BankAI,837060762325,BKAI497399,Mother,Internal,Gandhidham,Assam,7449058147,ojasvi.mutti@gmail.com,2020-11-16,Active
75,BEN472060,47,Luke Bose,BankAI,386894505438,BKAI456871,Mother,Internal,Srikakulam,Punjab,7980793597,luke.bose@gmail.com,2019-09-26,Active
76,BEN641722,47,Charan Oza,BankAI,310230327999,BKAI189771,Father,Internal,Dibrugarh,Rajasthan,0377889255,charan.oza@gmail.com,2021-11-11,Active
77,BEN569945,48,Ati Natt,IndusInd Bank,120585489939,BKAI197573,Mother,External,Ozhukarai,Bihar,4492519254,ati.natt@gmail.com,2021-11-19,Active
78,BEN596249,48,Nilima Puri,Kotak Mahindra Bank,682197733190,BKAI460455,Brother,External,Warangal,Sikkim,6850542357,nilima.puri@gmail.com,2018-01-20,Active
79,BEN421517,48,Brinda Merchant,Union Bank of India,354482841033,BKAI226516,Friend,External,Guna,Tripura,5929622292,brinda.merchant@gmail.com,2022-11-18,Active
80,BEN326895,49,Jagat Sawhney,ICICI Bank,631453260232,BKAI389930,Friend,External,Sultan Pur Majra,Haryana,4735977468,jagat.sawhney@gmail.com,2017-11-23,Active
81,BEN973074,49,Ekapad Krishna,BankAI,422956275865,BKAI338533,Brother,Internal,Ongole,West Bengal,8181412478,ekapad.krishna@gmail.com,2023-01-11,Active
82,BEN680238,50,Umang Palla,BankAI,865758896013,BKAI232413,Spouse,Internal,Vijayanagaram,Arunachal Pradesh,8536153051,umang.palla@gmail.com,2017-12-23,Active
83,BEN592198,50,Mekhala Sodhi,Kotak Mahindra Bank,583092399018,BKAI457256,Father,External,Nandyal,Manipur,1043289861,mekhala.sodhi@gmail.com,2025-11-04,Active
84,BEN520172,51,Arjun Khare,BankAI,179421446737,BKAI705050,Spouse,Internal,Berhampore,Assam,7980893246,arjun.khare@gmail.com,2025-10-26,Active
85,BEN360247,51,Sathvik Grover,Punjab National Bank,710394101616,BKAI901577,Brother,External,Loni,Kerala,8888806706,sathvik.grover@gmail.com,2019-09-26,Active
86,BEN572398,51,Bhavna Pai,BankAI,589233301053,BKAI411797,Business Partner,Internal,Vasai-Virar,Tripura,2058527722,bhavna.pai@gmail.com,2021-08-11,Active
87,BEN899787,52,Harrison Bassi,IDFC FIRST Bank,788087209613,BKAI321275,Mother,External,Kalyan-Dombivli,Karnataka,8687403450,harrison.bassi@gmail.com,2025-07-05,Active
88,BEN264136,52,Tejas Ratta,BankAI,546688090938,BKAI572387,Friend,Internal,Kharagpur,Karnataka,7758416169,tejas.ratta@gmail.com,2021-02-24,Active
89,BEN174637,53,Dalaja Buch,IDFC FIRST Bank,356355366221,BKAI377405,Friend,External,Sagar,Jharkhand,9627570596,dalaja.buch@gmail.com,2019-05-30,Active
90,BEN671015,54,Qabil Varghese,BankAI,809635153062,BKAI256226,Business Partner,Internal,Ludhiana,Chhattisgarh,0213556909,qabil.varghese@gmail.com,2017-02-24,Active
91,BEN723948,54,Vamakshi Bose,BankAI,582275910205,BKAI230394,Sister,Internal,Bettiah,Kerala,5431027868,vamakshi.bose@gmail.com,2023-01-04,Active
92,BEN559023,54,Jalsa Mangal,Indian Bank,757475491416,BKAI141797,Business Partner,External,Kollam,Bihar,1727155188,jalsa.mangal@gmail.com,2018-03-08,Active
93,BEN901909,55,Pratyush Trivedi,BankAI,732517733550,BKAI142185,Friend,Internal,Bhilai,Gujarat,3705895782,pratyush.trivedi@gmail.com,2024-06-15,Active
94,BEN765620,56,Sneha Srinivas,ICICI Bank,640368067420,BKAI195674,Sister,External,Alappuzha,Uttarakhand,2517785289,sneha.srinivas@gmail.com,2021-11-03,Active
95,BEN445824,56,David Vasa,AU Small Finance Bank,861977213598,BKAI619536,Mother,External,Avadi,Goa,5358414384,david.vasa@gmail.com,2021-12-05,Active
96,BEN438977,57,Yashasvi Ganguly,Bank of Baroda,545699699578,BKAI639593,Friend,External,Tirunelveli,Sikkim,9001094396,yashasvi.ganguly@gmail.com,2026-05-29,Active
97,BEN296694,57,Matthew Subramanian,Canara Bank,497363671483,BKAI752878,Friend,External,Machilipatnam,Jharkhand,1027677359,matthew.subramanian@gmail.com,2019-05-29,Active
98,BEN559398,59,Sudiksha De,BankAI,868287386081,BKAI608257,Self,Internal,Kottayam,Nagaland,5371473210,sudiksha.de@gmail.com,2019-05-10,Active
99,BEN679077,60,Jeet Dutta,BankAI,200536554489,BKAI335615,Other,Internal,Gangtok,Telangana,3278774701,jeet.dutta@gmail.com,2025-02-23,Active
100,BEN633590,61,Janaki Pandit,Union Bank of India,399382463310,BKAI535673,Friend,External,Dhanbad,Jharkhand,9748016245,janaki.pandit@gmail.com,2021-02-14,Active
101,BEN173201,62,Atharv Hayer,Bandhan Bank,947295030873,BKAI928381,Friend,External,Begusarai,Jharkhand,6878499121,atharv.hayer@gmail.com,2022-08-10,Active
102,BEN396578,62,Ekbal Issac,AU Small Finance Bank,429535879738,BKAI978157,Spouse,External,Orai,Arunachal Pradesh,0257872982,ekbal.issac@gmail.com,2019-01-07,Active
103,BEN678727,63,Shravya Mistry,Bank of Baroda,700276967355,BKAI495533,Sister,External,Guna,Uttarakhand,9470551694,shravya.mistry@gmail.com,2022-10-23,Active
104,BEN344907,64,Jhalak Behl,BankAI,954080072332,BKAI530728,Self,Internal,Tirunelveli,Mizoram,2309130756,jhalak.behl@gmail.com,2018-01-25,Active
105,BEN795928,64,Yamini Sinha,Canara Bank,641819166671,BKAI138817,Self,External,Durgapur,Mizoram,8578652785,yamini.sinha@gmail.com,2019-10-20,Active
106,BEN204555,64,Inaya Koshy,BankAI,114847393047,BKAI857537,Self,Internal,Proddatur,Jharkhand,4437575844,inaya.koshy@gmail.com,2016-08-26,Active
107,BEN919488,64,Siya Pai,BankAI,391925506721,BKAI455007,Spouse,Internal,Ramagundam,Arunachal Pradesh,1574733848,siya.pai@gmail.com,2021-12-17,Active
108,BEN432043,65,Keya Bedi,AU Small Finance Bank,888671097127,BKAI896290,Sister,External,Muzaffarpur,Arunachal Pradesh,6571208267,keya.bedi@gmail.com,2020-05-08,Active
109,BEN338536,65,Mekhala Bhargava,BankAI,201991584928,BKAI555052,Other,Internal,Chapra,Haryana,2620672400,mekhala.bhargava@gmail.com,2017-11-22,Active
110,BEN827712,65,Oliver Mane,Union Bank of India,147368967775,BKAI440131,Friend,External,Tinsukia,Mizoram,2874315274,oliver.mane@gmail.com,2023-02-17,Active
111,BEN693418,66,Inaya Gill,BankAI,970511704083,BKAI288803,Father,Internal,Purnia,Mizoram,1612275304,inaya.gill@gmail.com,2025-07-14,Active
112,BEN621841,66,Nitesh Mittal,IndusInd Bank,743870697885,BKAI250069,Father,External,Bhilwara,Rajasthan,3017426841,nitesh.mittal@gmail.com,2019-04-08,Active
113,BEN401603,67,Januja Deol,BankAI,699910770735,BKAI265649,Self,Internal,Jamnagar,Manipur,6878339187,januja.deol@gmail.com,2022-07-18,Inactive
114,BEN579027,68,Bhavani Tiwari,IDFC FIRST Bank,434343034522,BKAI308894,Other,External,Chapra,Nagaland,2587139718,bhavani.tiwari@gmail.com,2016-11-06,Active
115,BEN833247,69,Yashvi Sagar,Kotak Mahindra Bank,122742842928,BKAI970357,Spouse,External,Phusro,Arunachal Pradesh,4064039106,yashvi.sagar@gmail.com,2023-05-05,Active
116,BEN973294,70,Bhavya Sodhi,State Bank of India,951632719131,BKAI937665,Father,External,Baranagar,Maharashtra,2656766182,bhavya.sodhi@gmail.com,2017-06-05,Active
117,BEN810687,70,Zarna Datta,Kotak Mahindra Bank,893519162349,BKAI904751,Spouse,External,Delhi,Tripura,4786863375,zarna.datta@gmail.com,2017-01-07,Active
118,BEN423939,70,Amol Saini,BankAI,584423393396,BKAI134985,Spouse,Internal,New Delhi,Gujarat,1907903067,amol.saini@gmail.com,2018-03-17,Active
119,BEN310548,71,Ekaraj Thakur,Canara Bank,963856048497,BKAI665610,Business Partner,External,Muzaffarpur,Uttarakhand,9953428364,ekaraj.thakur@gmail.com,2022-04-26,Active
120,BEN369452,71,Tanay Tandon,AU Small Finance Bank,632336233214,BKAI945664,Mother,External,Hapur,Rajasthan,8566246287,tanay.tandon@gmail.com,2016-08-28,Active
121,BEN247594,71,Vincent Bhardwaj,BankAI,897473738038,BKAI807166,Other,Internal,Erode,Nagaland,6343517518,vincent.bhardwaj@gmail.com,2016-12-07,Active
122,BEN662636,72,Anusha Bora,State Bank of India,598747015912,BKAI486490,Friend,External,Dharmavaram,Telangana,7354033173,anusha.bora@gmail.com,2018-11-18,Active
123,BEN807617,73,Naveen Mandal,Bank of Baroda,616400332958,BKAI126240,Spouse,External,Kirari Suleman Nagar,Nagaland,4458771753,naveen.mandal@gmail.com,2020-02-15,Active
124,BEN835132,74,Janya Dhingra,IndusInd Bank,814262468039,BKAI528129,Self,External,Bhilwara,Nagaland,4235369378,janya.dhingra@gmail.com,2025-11-29,Active
125,BEN201913,74,Victor Ganguly,Union Bank of India,248337633154,BKAI507524,Sister,External,Gulbarga,Chhattisgarh,2808010062,victor.ganguly@gmail.com,2018-11-25,Active
126,BEN535037,75,Ikbal Tiwari,Kotak Mahindra Bank,210187050550,BKAI974190,Sister,External,Dindigul,Arunachal Pradesh,7008860084,ikbal.tiwari@gmail.com,2021-11-04,Active
127,BEN327823,75,Hemal Chhabra,BankAI,587235620303,BKAI347582,Friend,Internal,Loni,Chhattisgarh,3984546156,hemal.chhabra@gmail.com,2025-04-22,Inactive
128,BEN163491,76,Netra Buch,IndusInd Bank,402357707469,BKAI299028,Employee,External,Tiruchirappalli,Madhya Pradesh,6870021765,netra.buch@gmail.com,2016-11-28,Active
129,BEN925013,78,Ishwar Kakar,State Bank of India,367720383266,BKAI232040,Friend,External,Gopalpur,Arunachal Pradesh,4890250392,ishwar.kakar@gmail.com,2024-02-13,Active
130,BEN952547,79,Jai Ramachandran,BankAI,357138383897,BKAI444519,Friend,Internal,Yamunanagar,Tripura,1850163159,jai.ramachandran@gmail.com,2017-07-29,Active
131,BEN236306,79,Alexander Mahajan,BankAI,377198114684,BKAI937302,Father,Internal,Pallavaram,Haryana,8662961943,alexander.mahajan@gmail.com,2019-01-03,Active
132,BEN928358,79,Sachi Dube,BankAI,361084325435,BKAI717457,Mother,Internal,Ratlam,Kerala,1047541212,sachi.dube@gmail.com,2024-06-19,Active
133,BEN599380,80,Charan Bal,HDFC Bank,956623819286,BKAI479625,Spouse,External,Raichur,Nagaland,9956046618,charan.bal@gmail.com,2025-03-13,Active
134,BEN580292,81,Sachi Gara,IDFC FIRST Bank,164558300421,BKAI602248,Friend,External,Agartala,Jharkhand,7212646471,sachi.gara@gmail.com,2021-08-21,Active
135,BEN437758,82,Guneet Shankar,HDFC Bank,261526407509,BKAI168872,Self,External,Bhavnagar,Jharkhand,6596575692,guneet.shankar@gmail.com,2019-06-02,Active
136,BEN726410,82,Wakeeta Murthy,Bank of Baroda,424401271462,BKAI575755,Sister,External,Sikar,Karnataka,7935646519,wakeeta.murthy@gmail.com,2021-08-05,Active
137,BEN550961,83,Agastya Shenoy,IndusInd Bank,551952938516,BKAI455395,Friend,External,Bahraich,Uttar Pradesh,1672434266,agastya.shenoy@gmail.com,2021-12-12,Active
138,BEN427704,83,Suhani Warrior,BankAI,382029490777,BKAI492483,Employee,Internal,Tinsukia,Arunachal Pradesh,8911352909,suhani.warrior@gmail.com,2018-09-19,Active
139,BEN880758,85,Abdul Chaudhari,BankAI,511194997777,BKAI951201,Self,Internal,Korba,Mizoram,7567982507,abdul.chaudhari@gmail.com,2025-09-30,Active
140,BEN530764,85,Dalbir Dhar,Bank of Baroda,567078914303,BKAI856086,Self,External,Bijapur,Karnataka,3875717751,dalbir.dhar@gmail.com,2023-03-12,Active
141,BEN262246,85,Onveer Chopra,Kotak Mahindra Bank,631101638339,BKAI335137,Friend,External,Latur,Mizoram,8258673622,onveer.chopra@gmail.com,2022-06-29,Active
142,BEN946432,86,Umang Sanghvi,Kotak Mahindra Bank,776980148875,BKAI807764,Spouse,External,Kolkata,Tamil Nadu,3419182553,umang.sanghvi@gmail.com,2026-02-15,Active
143,BEN386544,87,Naksh Rama,State Bank of India,940536690954,BKAI423993,Employer,External,Dharmavaram,Bihar,5792499125,naksh.rama@gmail.com,2022-06-26,Active
144,BEN172965,87,Hemani Prakash,Kotak Mahindra Bank,912358165924,BKAI763928,Other,External,Sasaram,Madhya Pradesh,9296627828,hemani.prakash@gmail.com,2025-05-23,Active
145,BEN488028,88,Girik Murty,Bank of Baroda,891612454760,BKAI440140,Friend,External,Udupi,Arunachal Pradesh,0723688767,girik.murty@gmail.com,2020-01-21,Active
146,BEN806707,89,Benjamin Balasubramanian,BankAI,396703133413,BKAI564637,Friend,Internal,Jalna,Arunachal Pradesh,3842797881,benjamin.balasubramanian@gmail.com,2020-12-21,Active
147,BEN461939,89,Ansh Sastry,Axis Bank,222105549288,BKAI397005,Friend,External,Khandwa,Bihar,4074517133,ansh.sastry@gmail.com,2019-10-08,Active
148,BEN514463,89,Fitan Dewan,State Bank of India,761358158184,BKAI157443,Self,External,Tiruppur,Uttar Pradesh,9584982544,fitan.dewan@gmail.com,2023-01-15,Active
149,BEN225812,90,Ekanta Sabharwal,Punjab National Bank,645494046286,BKAI883301,Sister,External,Bally,West Bengal,2325367294,ekanta.sabharwal@gmail.com,2024-12-20,Active
150,BEN175576,90,Charita Rau,Indian Bank,146136716197,BKAI557409,Self,External,Arrah,Manipur,5901751863,charita.rau@gmail.com,2025-07-19,Active
151,BEN843963,90,Ojasvi Mander,Kotak Mahindra Bank,558015920905,BKAI403578,Self,External,Motihari,Odisha,9750017012,ojasvi.mander@gmail.com,2026-03-09,Active
152,BEN192410,91,Isha Deo,Union Bank of India,366742651064,BKAI556839,Spouse,External,Kozhikode,West Bengal,1541520643,isha.deo@gmail.com,2020-07-17,Active
153,BEN916964,92,Jalsa Sood,Axis Bank,182326503133,BKAI635280,Spouse,External,Mira-Bhayandar,Odisha,8700516271,jalsa.sood@gmail.com,2020-06-20,Active
154,BEN862712,92,Dalaja Munshi,Bank of Baroda,996125354020,BKAI254864,Father,External,Dewas,Chhattisgarh,2218909275,dalaja.munshi@gmail.com,2024-10-11,Active
155,BEN897143,92,Ikbal Chadha,BankAI,820520073075,BKAI179013,Father,Internal,Kolhapur,Tripura,9656523413,ikbal.chadha@gmail.com,2017-10-02,Active
156,BEN814220,93,Amara Mitra,Kotak Mahindra Bank,806799110299,BKAI766158,Other,External,Kadapa,Punjab,6403761379,amara.mitra@gmail.com,2022-10-18,Active
157,BEN171603,93,Nitara Deo,ICICI Bank,587345305175,BKAI762055,Mother,External,Jehanabad,Maharashtra,8271091043,nitara.deo@gmail.com,2023-05-04,Active
